"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"López-Belmonte J.; Pozo-Sánchez S.; Moreno-Guerrero A.-J.; Lampropoulos G.","López-Belmonte, Jesús (57214748261); Pozo-Sánchez, Santiago (57216962873); Moreno-Guerrero, Antonio-José (57218897004); Lampropoulos, Georgios (57509157600)","57214748261; 57216962873; 57218897004; 57509157600","Metaverse in Education: a systematic review; [Metaverso en Educación: una revisión sistemática]","2023","Revista de Educación a Distancia","23","73","2","","","","17","10.6018/RED.511421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152531289&doi=10.6018%2fRED.511421&partnerID=40&md5=4ea97cfaa5d5f0f377fe3ccbb25243d4","The Addressing the new educational needs and requirements still remains a challenge. Moreover, due to the COVID-19 pandemic and the technological advancements, learning environments are being transformed. Metaverse is a computer-generated lifelike 3D virtual extension of the physical world as it immerses users, allows them to interact with others and with digital objects, and eliminates the constraints of distance and time differences. It is characterized by persistence, interactivity, and embodiment. The use of the metaverse in educational and training processes to create new learning environments that allow learners to function in a parallel, safe and personalized reality is gaining ground. The aim of this study is to analyze the existing research into the metaverse in the educational field. Hence, a systematic literature review has been carried out using the Web of Science (WoS) and Scopus databases. To provide more complete and constructive results, no year, educational level, or subject restrictions were set. As metaverse is a new topic and taking the inclusion and exclusion criteria into account, a total of 17 articles has been analyzed. Based on the findings, metaverse has the potential to enrich and transform education and lead to increased learning outcomes and enhanced students' engagement and motivation. Despite this fact, the use of metaverse in education is in its infancy, thus, more research and experiments should be carried out in all educational levels and populations to assess its impact and improve its effectiveness. Finally, the need for designing valid instruments to evaluate the educational experiences generated within the metaverse was evident. © 2023 Universidad de Murcia. All rights reserved.","bibliometric study; educational technology; extended reality; immersive reality; metaverse","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152531289"
"Sepúlveda Durán C.M.; García Fernández C.M.; Galán A.A.","Sepúlveda Durán, Carmen María (58185695300); García Fernández, Cristina María (57190762813); Galán, Azahara Arévalo (58186516900)","58185695300; 57190762813; 58186516900","Computational Literacy: Unplugged musical activities around Bebras International Challenge; [Alfabetización Computacional: Actividades musicales desenchufadas sobre el Desafío Internacional de Bebras]","2023","Revista de Educación a Distancia","23","73","6","","","","0","10.6018/RED.540191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152646506&doi=10.6018%2fRED.540191&partnerID=40&md5=98bb07cfaba30af695a80267f3d9845f","Computer Literacy is a reality in current educational legislation. Within the STEAM competence approach, music education and the development of Computational Thinking (CT) are located in this discipline. In this work, unplugged musical activities are designed based on the Bebras challenges, and their effectiveness is evaluated in terms of CT development in students. A quasi-experimental study was carried out with pre-post test measures in a group of 220 Primary School students (experimental, N = 170; control, N = 50). The experimental group performed three blocks of unplugged musical activities. Computational Thinking Test using Bebras Problems (Lockwood and Moone, 2018) was used as an instrument. Variables of gender, course, environment and academic ability were taken into account. The results show a significant increase in CT in the experimental group at a general level and in the Bebras activities of medium and advanced levels of difficulty. Schoolchildren from the rural context showed higher scores in CT development compared to the urban one. No significant differences are observed in the rest of the variables. Finally, a higher level of correct answers was observed in ""easy"" activities, greater completion of ""medium"" activities and a decrease in both in ""advanced"" activities. © 2023 Universidad de Murcia. All rights reserved.","Bebras problems; computational thinking; digital literacy; musical education; primary education; STEAM","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152646506"
"Hernández-Ramos J.P.; Martínez-Abad F.; Sánchez-Prieto J.C.","Hernández-Ramos, Juan Pablo (55574883200); Martínez-Abad, Fernando (55574791000); Sánchez-Prieto, José Carlos (56715438800)","55574883200; 55574791000; 56715438800","The use of video tutorials in the post-COVID19 era: Assessment and influence on the development of the teaching identity of the future education professional.; [El empleo de videotutoriales en la era post COVID19: Valoración e influencia en la identidad docente del futuro profesional.]","2021","Revista de Educación a Distancia","21","65","11","","","","10","10.6018/RED.449321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109554006&doi=10.6018%2fRED.449321&partnerID=40&md5=bffb7e2b144bc2753ad25068dabb155a","Due to the COVID19 pandemic, in the 2019-2020 school year in many countries, the classroom activity had to be suspended in any of its manifestations, having the teachers to plan and develop a new process of virtual teaching-learning. In view of this circumstance and in light of the current uncertainty, technological resources become an ally for teachers, making it necessary to disseminate experiences such as the one collected in this study: the use of video tutorials in higher education. From a quasi-experimental only posttest single group research design, after applying an electronic questionnaire to 240 students, the planning and implementation of video tutorials for the transmission of theoretical and practical contents in Research Methodology subjects is analyzed. The assessments made show a high level of acceptance of the resource, especially for: analyzing and reflecting on the contents; solving practical problems and organizing the study. Likewise, the relationship between the perception of the usefulness of the video tutorial and the intention of future use is reflected. The study is concluded by highlighting the educational potential of the use of video tutorials in distance higher education. © 2021 Universidad de Murcia. All rights reserved.","COVID-19; Digital transformation; Educational technology; Educational video; Higher education","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85109554006"
"Hidalgo-Cajo B.G.; Gisbert-Cervera M.","Hidalgo-Cajo, Byron Geovanny (57195139293); Gisbert-Cervera, Mercé (36843936800)","57195139293; 36843936800","Determining factors that make it possible to establish typologies of teachers in the context of technological innovation in education; [Factores determinantes que permiten establecer tipologías de profesorado en el contexto de la innovación tecnológica educativa]","2022","Revista de Educación a Distancia","22","69","","","","","7","10.6018/red.499171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131200274&doi=10.6018%2fred.499171&partnerID=40&md5=4b5e841c953d592c7b84807bd5b072c1","The figure of the teacher plays a fundamental role in the integration of digital technologies (TD) in the teaching-learning process. From this perspective, several studies have been carried out with the aim of defining the most influential variables and/or factors in the adoption, use and integration of TD from the teacher's perspective, of which very few conclude with a clear definition. From this point of view, the study aims to design an explanatory theoretical instructional model of the different teacher profiles that brings together all the variables and factors that can intervene in the integration of digital technologies in the educational environment, focusing on the needs, types and characteristics of teachers. Based on the analysis of the literature and previous pragmatic studies, different variables have been identified that influence the integration of TD and that have allowed the design of a model of teacher profiles from the perspective of teaching practice, which determine the stages of adoption, applying contextual paradigms. The study concludes that the determining variables for the appropriation of TD from the context of teachers are Attitude and Self-efficacy, to which are added the factors: Usefulness of use, Ownership, access to TD, Teacher training, Ease of use, Importance, social pressure and Interest in TDs. These variables and factors lead to the creation of an instructional model of theoretical and explanatory approximation of the five teacher profiles with respect to the adoption, use and integration of TD in the educational process, which we have labelled as: ""resistant"", ""confused"", ""adopter"", ""persuaded"" and ""innovator"". © 2022 Universidad de Murcia. All rights reserved.","Digital competence; Digital technology; Educational technology; Educational uses of technology; Teacher profiles","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85131200274"
"Gómez-León M.I.","Gómez-León, María Isabel (57207740441)","57207740441","Decreased anxiety in victims of bullying during confinement by COVID-19; [Disminución de la ansiedad en las víctimas del bullying durante el confinamiento por COVID-19]","2021","Revista de Educación a Distancia","21","65","10","","","","9","10.6018/RED.439601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109447104&doi=10.6018%2fRED.439601&partnerID=40&md5=6ecfebed7e42034be0771fd5c18fbae5","The stressors generated by the COVID 19 pandemic have had important consequences on the mental health of many adolescents, however, it is possible that the suspension of in-person classes along with the digital media available for learning and social interaction have provided relief for those who were victims of bullying.. This research compares the scores obtained by 76 adolescents (94 victims of bullying and 182 not victims) between 12 and 14 years old, in anxiety, depression, academic performance and cyberbullying before and after confinement. Before confinement, the victims obtained significantly higher scores in anxiety, depression and cyberbullying and lower scores in academic performance. During confinement, the differences in anxiety were reversed, being significantly lower in the case of victims of bullying, who also obtained significantly lower scores in depression and cyberbullying than before confinement. However, academic performance decreased significantly in the non-victim group, while no significant changes in cyberbullying scores were observed. © 2021 Universidad de Murcia. All rights reserved.","Academic performance; Anxiety; Bullying; COVID-19; Cyberbullying","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85109447104"
"Occelli M.; Romano L.G.; Valeiras N.","Occelli, Maricel (56341384700); Romano, Leticia Garcia (57194978217); Valeiras, Nora (15128443100)","56341384700; 57194978217; 15128443100","Collaborative learning of socioscientific issues in virtual environments: a study of a teacher training experience; [Aprendizaje colaborativo de cuestiones sociocientíficas en ambientes virtuales: estudio de una experiencia de formación docente]","2022","Revista de Educación a Distancia","22","70","518511","","","","1","10.6018/red.518511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142225318&doi=10.6018%2fred.518511&partnerID=40&md5=f18b495e23e0564c5e6a7828942ac415","This paper presents an analysis of the collaborative dynamics established during a distance teacher training course on a socio-scientific issue. The proposal was to solve, in collaborative groups, an open problem about transgenic plants. Ninety-six biology and chemistry teachers participated as students. A case study was carried out and information on the process was collected through questionnaires, interviews, analysis of interactions in forums, wikis, metacognition essays and final application papers. The analysis was organized on the basis of two dimensions: group cognitive and individual cognitive. From the results obtained, it is highlighted that group work allowed a collaborative construction of convergence towards the common goal of solving the problem posed. Although dialogic interactions tending to build knowledge in a collaborative way were identified, some groups still had summative or individual ways of facing the task. In terms of knowledge construction, the proposed work broadened the perspective of analysis of the socio-scientific question posed, fostered the interpretation of scientific information, the evaluation of different sources of information, the analysis of evidence and the construction of arguments. © 2022 Universidad de Murcia. All rights reserved.","asynchronous communication; collaboration; forum; ICT; transgenic plants","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142225318"
"Xing C.; Xi Z.","Xing, Chen (57211642585); Xi, Zhao (57325486800)","57211642585; 57325486800","Observations and perspectives on basic education modalities in Latin America in the pandemic and post-pandemic era. -Case study: Aprende en casa of Mexico; [Observaciones y perspectivas sobre las modalidades de educación básica en América Latina en la era pandémica y pospandémica -Estudio de caso: Aprende en casa de México]","2021","Revista de Educación a Distancia","21","67","9","","","","0","10.6018/RED.480841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118631430&doi=10.6018%2fRED.480841&partnerID=40&md5=51373829a48941bde01605a867a16a1c","The Covid-19 health crisis has led to a shift in the educational model in many countries to the remote mode, including Latin American countries. This article aims to analyse the modality of basic education in Latin America based on a case study of the distance education programme in Mexico: Learning at Home. In this article, the objective is to explore the transition from face-to-face education to virtual mode, as well as its implications for pedagogical and public proposals in the post-pandemic era. The findings suggest that the Mexican basic education system has undergone three stages of transformation in the face of the pandemic. However, we also note that there are several shortcomings in the Learning at Home project, mainly linked to the lack of guarantee of educational equity and efficiency. We conclude that in order to address the challenges in basic education not only in Mexico, but also in the Latin American region as a whole, a revolutionary vision towards a comprehensive approach is needed, taking into account the diversity of socio-economic conditions. © 2021 Universidad de Murcia. All rights reserved.","Basic education; Challenges; Coivd-19; Distance education; Transformation","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85118631430"
"Guillén-Gámez F.D.; Ruiz-Palmero J.; Colomo-Magaña E.; Cívico-Ariza A.","Guillén-Gámez, Francisco D. (56203574500); Ruiz-Palmero, Julio (56646423600); Colomo-Magaña, Ernesto (57211482962); Cívico-Ariza, Andrea (57218601653)","56203574500; 56646423600; 57211482962; 57218601653","Construction of an instrument on the digital competences of the teacher to use YouTube as a didactic resource: analysis of reliability and validity; [Construcción de un instrumento sobre las competencias digitales del docente para utilizar YouTube como recurso didáctico: análisis de fiabilidad y validez]","2023","Revista de Educación a Distancia","23","76","1","","","","2","10.6018/red.549501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171867317&doi=10.6018%2fred.549501&partnerID=40&md5=78778267c4d956c6af1cfb11e91b33a9","The purpose of this study was the creation of an instrument on the digital competence of the teacher in the use of YouTube as a learning tool. Specifically, the following specific objectives were outlined: content validity, comprehension validity, construct validity (exploratory and confirmatory factor analysis), convergent and discriminant validity, invariance by gender (male-female) and type of center (urban-rural), and determine the internal consistency through different reliability coefficients. The instrument had an initial version of 30 items classified into three factors: DIM. DCI - Information; DIM. DC-C - Communication; DIM. DC-CC - Creation of content. The instrument was applied to 2157 teachers from all over the Spanish territory, belonging to different educational stages: Early Childhood, Primary and Secondary Education, Vocational Training and Adult Education. The reliability analyzes were satisfactory. Regarding validity, the results found a good adjustment of the model, both in internal validity and in factorial invariance by gender and type of center, with a final version of the instrument of 13 items. These results show that the instrument presented is valid and reliable to measure the digital competence of the teacher regarding the use they make of YouTube as a didactic resource. © 2023 Universidad de Murcia. All rights reserved.","digital competence; reliability; structural equations; teacher; validity","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171867317"
"Gomes N.S.; Martins R.X.; Azevedo D.S.","Gomes, Nicole Santana (57225191557); Martins, Ronei Ximenes (55673092000); Azevedo, Daniela Simone (57225189063)","57225191557; 55673092000; 57225189063","Long form or microcontent? An analysis of supports for digital content courseware; [¿Long form o Microcontenido? Análisis de soportes para materiales didácticos digitales]","2021","Revista de Educación a Distancia","21","65","4","","","","2","10.6018/RED.422371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109464077&doi=10.6018%2fRED.422371&partnerID=40&md5=b6f6a5319a8ca734756c6c7dc115e040","The use of digital educational resources has expanded considerably, including in the context of the COVID-19 pandemic. In the educational materials used in these resources, the Microcontent (MC) format predominates, with its fragmented and small information units. So, we ask: can the LongForm (LF) format, which allows the presentation of dense and extensive content, be a viable alternative to MC, when applied to complex educational content, specific to undergraduate courses? The LF, hypothetically, can offer better support for higher distance education courses. To answer the question, an educational activity, elaborated in both formats, was applied to 67 students from a university of Minas Gerais state, in Brazil. The observation of student activity revealed their preferences: MC has shown to be good for building learning with smaller materials in both size and content complexity, but LF was more appropriated when dealing with complex, dense, multimedia-requiring contents to facilitate understanding. It was confirmed that the LF presents itself as a viable alternative for online studying because it is constituted by a single virtual space where larger texts and varied multimedia resources can be inserted to enrich the educational material and to offer the full content for students. © 2021 Universidad de Murcia. All rights reserved.","Distance education; Instructional materials; Mobile learning","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85109464077"
"Lin C.-Y.; Reigeluth C.M.","Lin, Chun-Yi (56978360900); Reigeluth, Charles M. (55945856200)","56978360900; 55945856200","Guidance for wiki-supported collaborative learning and community knowledge building for an entire class: Enhancing learning environments during the COVID19 pandemic","2021","Revista de Educación a Distancia","21","65","1","","","","3","10.6018/RED.447401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109557915&doi=10.6018%2fRED.447401&partnerID=40&md5=431fc3e80ce114c2e32d233568b5be88","The purpose of this study is to develop an instructional theory for scaffolding wiki-supported collaborative learning in small group projects and in collaborative knowledge development for undergraduate courses. The paper presents the instructional theory developed through two implementations and discusses how this instructional theory may enrich learning regardless of the constraints during the COVID19 pandemic, in which small-group meetings are possible but large-class meetings are moved online. Although, in theory, wikis should be a powerful technology to support collaborative learning, empirical research reveals challenges regarding student motivation, group dynamics, and assessment. To bridge the gaps between theory and practice, we used the design-based research approach (DBR) and collaborated with two expert practitioners to develop the instructional theory. The research process includes an initial theory, implementations in two cases, and theory refinement. Data collection and analysis involve literature review, multiple individual interviews with experts before and during implementations, weekly class observations, focus-group interviews with students during implementation, content analysis of class wikis, and focus-group interviews with experts for theory refinement. The results of the study presented in this paper focus on the refined instructional theory, which was grounded in theoretical work, expert instructors' heuristic knowledge, and local effectiveness. In addition, this paper includes design principles with some considerations to support learning in COVID19 environments. In other words, the success of using wikis to foster a culture of sharing, and to increase student motivation and participation in individual or group project work, as well as in community knowledge building for an entire class, may enrich learning during the pandemic by creating learner-centered, knowledge-centered, assessment-centered, and community-centered learning environments. © 2021 Universidad de Murcia. All rights reserved.","Community knowledge building; Design-based research; Instructional theory; The COVID19 pandemic; Wikis for collaborative learning","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85109557915"
"Suárez-Guerrero C.; Ros-Garrido A.; Lizandra J.","Suárez-Guerrero, Cristóbal (38062132100); Ros-Garrido, Alicia (57196089321); Lizandra, Jorge (57188835755)","38062132100; 57196089321; 57188835755","Approach to digital teaching competence in vocational training; [Aproximación a la competencia digital docente en la formación profesional]","2021","Revista de Educación a Distancia","21","67","7","","","","6","10.6018/RED.431821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118675970&doi=10.6018%2fRED.431821&partnerID=40&md5=e0ca1f9ad34975a0aad9c2120867e8dc","World requires people with knowledge, skills and attitudes that allow a full development of citizenship in a digital ecosystem. An educational response to this social demand is digital competence. Thus, this purpose requires optimal levels of Digital Teaching Competence (DTC), especially in the Vocational Education Training (VET) sector. With the aim of attending to this educational context, this work proposes a understanding framework that integrates the vision of pedagogy, resources and evaluation to understand, evaluate and propose improvements in the digital competence of VET teachers. Using a qualitative approach, eleven in-depth interviews were conducted on the DTC of VET teachers from seven schools in the province of Valencia (Spain). These data were analysed from the categorization of four educational scenarios with technology (individual learning, teaching with ICT, collaborative learning and student self-learning). The main conclusion detected is that interviewed teachers have knowledge of some technological resources and applications, attitude and ability to incorporate them into their teaching practice. However, they do not integrate technology in the learning assessment at the same competence level as in the other dimensions. © 2021 Universidad de Murcia. All rights reserved.","Assessment; Digital competence; Pedagogy; Resources; Teacher; Vocational training","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85118675970"
"Achachagua Y.H.Y.; Chinchay H.E.G.","Achachagua, Yasser Hipolito Yarin (57972423700); Chinchay, Hugo Eliseo Gamarra (57392137100)","57972423700; 57392137100","Augmented reality and its effect on the spatial ability of mechanical engineering students; [La realidad aumentada y su efecto en la habilidad espacial de estudiantes de ingeniería mecánica]","2022","Revista de Educación a Distancia","22","70","509931","","","","0","10.6018/red.509931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142238649&doi=10.6018%2fred.509931&partnerID=40&md5=7fa80b8b7a06a02df869798abc5b8d50","This research work focused on the development of a learning experience based on the use of augmented reality with the aim of improving spatial ability, within the training framework of the future mechanical engineer. Two groups were formed, where the first group, the experimental group, participated in a mechanical drawing workshop where content was displayed in augmented reality, while, in the second group, the control group developed the same topics in a traditional way. A test was used to measure the spatial ability of the participants before and after the application of the workshop. The results obtained in the study allowed us to conclude that the mechanical drawing workshop based on the use of augmented reality significantly influences the spatial ability of mechanical engineering students, because the statistical analysis allows us to identify a significant difference between the groups formed, according to results obtained by means of the Mann Whitney U test. © 2022 Universidad de Murcia. All rights reserved.","Augmented reality; engineering students; mechanical engineering; spatial ability","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142238649"
"Farida F.; Supriadi N.; Andriani S.; Pratiwi D.D.; Suherman S.; Muhammad R.R.","Farida, Farida (58570164100); Supriadi, Nanang (57208305243); Andriani, Siska (57207963464); Pratiwi, Dona Dinda (57217691948); Suherman, Suherman (57426277600); Muhammad, Rosida Rakhmawati (57972081100)","58570164100; 57208305243; 57207963464; 57217691948; 57426277600; 57972081100","STEM approach and computer science impact the metaphorical thinking of Indonesian students’; [El enfoque STEM y las ciencias de la computación impactan el pensamiento metafórico de los estudiantes indonesios]","2022","Revista de Educación a Distancia","22","69","","","","","2","10.6018/RED.493721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133759906&doi=10.6018%2fRED.493721&partnerID=40&md5=891487941d895294501e0674ee53b281","Metaphorical thinking is important in improving the formation and discovery of learning ideas in the 21st-century. However, the metaphorical thinking of Indonesian students is below the international average in terms of cognitive process, according to PISA 2018. This study aims to identify differences in the ability of students' metaphorical thinking in learning STEM and Computer Science (STEM-CS). This research employed the experimental design with a simple random sampling technique to determine the sample. The population of this study was 280 junior high school students in Bandar Lampung, Indonesia. The data collection technique has been tested to see the improvement of metaphorical thinking. Hypothetical testing has been used by one-way ANOVA with a meaningful level of 5%. The results found that the average class value applied to the STEM-CS training model was 88.00, which was higher compared to the STEM class with an average score of 86.00 and the control class with an average score of 73.00. It is concluded that the STEM-CS model can be used as an alternative solution for learning in the industrial era 4.0. © 2022 Universidad de Murcia. All rights reserved.","Computer science; Metaphorical thinking; STEM","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85133759906"
"Minervini R.; Martín Sánchez M.T.","Minervini, Rosaria (57324070400); Martín Sánchez, María Teresa (55588320700)","57324070400; 55588320700","Argumentation in the Curricular Plan of the Cervantes Institute: analysis of written productions of SFL students; [La argumentación en el Plan Curricular del Instituto Cervantes: análisis de producciones escritas de estudiantes de ELE]","2023","Revista de Educación a Distancia","23","75","5","","","","0","10.6018/red.544911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158839129&doi=10.6018%2fred.544911&partnerID=40&md5=146b28f219d1e90f92d79c38833eb6af","In this paper we present the results of a research on the analysis of argumentative writing by Italian students of Spanish as a foreign language at the University of Salerno (Italy). The need to implement a different model of argumentative macrostructure teaching/learning has led us to consider the following objectives: to verify the positive impact of direct instruction using different real materials in order to investigate whether autonomous and distance learning favours the understanding of the argumentative macrofunction, in response to the research questions of whether intertextuality helps the understanding of the argumentative text structure and favours metalinguistic reflection. After analysing the results, we have been able to confirm that this teaching/learning method has been successful, since in all the analysed texts the elements that make up the prototypical process and several of the resources for argumentation developing indicated in the Instituto Cervantes’ Curricular Plan appear. Translated with www.DeepL.com/Translator (free version). © 2023 Universidad de Murcia. All rights reserved.","Argumentative macrofunction; Distance learning; Spanish as a Foreign Language; teaching/learning","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158839129"
"Marimon-Martí M.; Cabero J.; Castañeda L.; Coll C.; de Oliveira J.M.; Rodríguez-Triana M.J.","Marimon-Martí, Marta (57932136900); Cabero, Julio (23097101400); Castañeda, Linda (57193252146); Coll, César (35621728100); de Oliveira, Janaina Minelli (35766354700); Rodríguez-Triana, Maria Jesús (51161955600)","57932136900; 23097101400; 57193252146; 35621728100; 35766354700; 51161955600","Building knowledge in the digital age: challenges and reflections; [Construir el conocimiento en la era digital: retos y reflexiones]","2022","Revista de Educación a Distancia","22","69","","","","","5","10.6018/RED.505661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142269941&doi=10.6018%2fRED.505661&partnerID=40&md5=c6eb0ffe50d37fb869f655f09ef9234b","This work identifies five major challenges faced by emerging models of construction and creation of knowledge in digital contexts: the democratization of education and the analysis of issues related to diversity in a broad sense; the impact of the COVID-19 pandemic and its implications regarding the uses of ICT in education; the existence of multiple and diverse contexts for the construction and creation of knowledge, their interrelation and their necessary articulation; content curation, its impact on educational practices, its implications for teacher training and for student learning; and learning analytics and their role in decision-making aimed at improving teaching effectiveness and optimizing learning. These five areas are reviewed as well as their most significant aspects, which should be the object of special attention in research and educational innovation in the coming years. It also includes an annex dedicated to presenting a glossary of some terms used in the work. © 2022 Universidad de Murcia. All rights reserved.","Content curation; Democratization; Educational technology; Knowledge creation; Learning analytics; Learning contexts","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142269941"
"García-De-Paz S.; Bonilla P.J.S.","García-De-Paz, Sergio (57225204273); Bonilla, Pablo Joel Santana (57219980502)","57225204273; 57219980502","The transition towards virtual learning environments in a context of health emergency: Case study of a teaching team in Initial Vocational Education and Training; [La transición a entornos de educación virtual en un contexto de emergencia sanitaria: Estudio de caso de un equipo docente en Formación Profesional Básica]","2021","Revista de Educación a Distancia","21","65","9","","","","12","10.6018/RED.450791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109523520&doi=10.6018%2fRED.450791&partnerID=40&md5=3f32e616e9f425218c94aeb02b202b43","The declaration of a state of emergency in March 2020, due to the COVID-19 health crisis, caused the closure of all schools in Spain. This article aims to explore the transition from face-to-face teaching to what has been called emergency remote teaching, as well as its implications for future educational proposals. Our objectives are: to explore what conditions have influenced the process of transition toward emergency remote teaching (ERT), the pedagogical and organisational implications of EST and which teaching model should be transitioned to in the current heath emergency context. In order to achieve them we have conducted a case study of a teaching team in Initial Vocational Education and Training of a school. The main conclusions suggest that there are three elements that have facilitated the transit to a remote emergency teaching which could also contribute to the building of virtual education environments: the presence of a digital infrastructure at the school for teaching and communication; an educational organisation model based on leadership and autonomy of teaching teams; and the teachers' vision of the family as an essential educational agent. © 2021 Universidad de Murcia. All rights reserved.","Case study; COVID-19; Initial Vocational Education; School organization; Training; Virtual education","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85109523520"
"Díaz-Guillen P.A.; Andrade-Arango Y.; Hincapié-Zuleta A.M.; Uribe-Uran A.P.","Díaz-Guillen, Paula Andrea (57204202216); Andrade-Arango, Yamilhet (57222733226); Hincapié-Zuleta, Ana María (57222734929); Uribe-Uran, Adriana Patricia (57199501094)","57204202216; 57222733226; 57222734929; 57199501094","Analysis of the methodological process in higher education programs in virtual modality; [Análisis del proceso metodológico en programas de educación superior en modalidad virtual]","2021","Revista de Educación a Distancia","21","65","14","","","","6","10.6018/red.450711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103899927&doi=10.6018%2fred.450711&partnerID=40&md5=5843cad8ae4abdf87c0309222261f58a","This article identifies the methodological characteristics of virtual higher education programs in Colombia, given the lack of guidelines on how to implement virtual education processes at the undergraduate and graduate levels in a developing country. A qualitative research was carried out in a sample of 10 higher education institutions in Colombia, with a wide range of undergraduate and graduate programs for the virtual modality. The results of this study indicate that Colombian Higher Education Institutions are implementing teaching-learning models that are modified according to the contingencies of the context and the ways of conceiving the different roles played by the actors participating in the educational process. In particular, it was found that these institutions define educational models in which asynchronous interaction prevails, evaluate through parameterized activities in the virtual campus, and train their teachers to improve their competencies in the design of virtual learning scenarios. In practical terms, this study suggests that the methodological characteristics of virtual education at an undergraduate and graduate level differ from face-to-face education, so institutions should approach both modalities with different pedagogical strategies. © 2021 Universidad de Murcia. All rights reserved.","Digital inclusion; Higher education; Methodological process; Quality; Virtual modality","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85103899927"
"Guillén-Gámez F.D.; Mayorga-Fernández M.J.; Contreras-Rosado J.A.","Guillén-Gámez, Francisco D. (56203574500); Mayorga-Fernández, María J. (57212883812); Contreras-Rosado, José A. (56081016900)","56203574500; 57212883812; 56081016900","Validity and reliability of an instrument to evaluate the digital competence of teachers in relation to online tutorials in the stages of early childhood education and primary education; [Validez y fiabilidad de un instrumento para evaluar la competencia digital del profesorado en relación a la acción tutorial online en las etapas de educación infantil y educación primaria]","2021","Revista de Educación a Distancia","21","67","","","","","7","10.6018/RED.474981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118676379&doi=10.6018%2fRED.474981&partnerID=40&md5=d132825346b53964b52d4c4922479e40","This article demonstrates the validity and reliability of an instrument to evaluate the level of digital competence of Early Childhood Education and Primary Education teachers to carry out online tutorials using ICT resources as part of the educational process during the COVID-19 pandemic. The instrument consists of 35 items classified into five dimensions (A - functions of the tutor with the students; B - functions of the tutor with the teaching staff; C - functions of the tutor with the family; D - training in ICT and transfer; E - use of ICT resources). The instrument was applied to a sample of 1,098 active teachers from 14 autonomous communities located in Spain. Reliability was measured using Cronbach's Alpha, the Spearman-Brown Coefficient, Guttman Two Halves, Omega McDonald, and for composite reliability. To check the validity of the instrument, we analysed the validity of understanding, and exploration of dimensionality using Factorial-Exploratory Analysis (EFA), and the instrument was adjusted for the different models through Confirmatory Factor Analysis (CFA). In addition, factorial invariance was evaluated based on the variables sex (male/female), type of centre (public/charter school), and type of teaching staff (Early Childhood Education/Primary Education), as well as external validity. The results of the reliability analyses were highly satisfactory and, in relation to the construct validity, the results found a good fit of the model, both in the internal validity and in the factorial invariance. The final version of the instrument consists of 25 items. © 2021 Universidad de Murcia. All rights reserved.","Digital competence; Factorial invariance; Psychometrics; Reliability; Research methods; Teachers; Tutorial action; Validity","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85118676379"
